t,angle,iteration

0.0,59,1

0.012,2,2

0.02038,13,3

0.03237,22,4

0.04039,31,5

0.0523,41,6

0.06,51,7

0.07271,60,8

0.08071,70,9

0.09239,79,10

0.10467,89,11

0.11639,91,12

0.12839,91,13

0.13659,91,14

0.14875,89,15

0.15721,79,16

0.16939,69,17

0.17741,60,18

0.18908,51,19

0.19707,42,20

0.20941,33,21

0.21745,23,22

0.22945,14,23

0.23744,5,24

0.24944,1,25

0.25746,1,26

0.26942,12,27

0.27744,22,28

0.28943,31,29

0.29744,40,30

0.30945,50,31

0.32107,59,32

0.33326,69,33

0.34142,79,34

0.35345,88,35

0.36134,90,36

0.37334,91,37

0.38134,91,38

0.39308,90,39

0.40203,80,40

0.41429,71,41

0.42201,61,42

0.43429,52,43

0.44229,44,44

0.45428,34,45

0.46228,25,46

0.47428,15,47

0.48229,7,48

0.49428,0,49

0.5023,1,50

0.51457,10,51

0.52257,21,52

0.53834,30,53

0.54631,39,54

0.5584,49,55

0.56655,58,56

0.57858,68,57

0.58658,78,58

0.59834,87,59

0.60668,90,60

0.61868,91,61

0.62666,91,62

0.63869,91,63

0.64669,83,64

0.65865,74,65

0.66669,65,66

0.67857,56,67

0.68663,46,68

0.69867,37,69

0.70667,28,70

0.72231,19,71

0.73043,9,72

0.74266,0,73

0.7503,0,74

0.76269,10,75

0.77464,20,76

0.78265,30,77

0.79464,39,78

0.80268,49,79

0.81596,58,80

0.8239,67,81

0.83632,77,82

0.84397,87,83

0.85629,90,84

0.86435,91,85

0.87633,91,86

0.88435,91,87

0.89634,83,88

0.90425,74,89

0.91625,65,90

0.92426,55,91

0.93625,46,92

0.94425,37,93

0.95998,28,94

0.96798,18,95

0.98025,9,96

0.98822,0,97

1.00025,0,98

1.00825,8,99

1.01998,17,100

1.02798,27,101

1.03998,37,102

1.04798,46,103

1.0603,56,104

1.06835,65,105

1.07997,74,106

1.08831,84,107

1.10035,91,108

1.10833,90,109

1.12398,91,110

1.13198,91,111

1.1442,84,112

1.15235,76,113

1.16427,67,114

1.17231,58,115

1.18436,48,116

1.19228,39,117

1.20401,30,118

1.21197,21,119

1.22417,11,120

1.23234,2,121

1.24433,0,122

1.25235,7,123

1.26435,15,124

1.27234,24,125

1.28435,34,126

1.29598,44,127

1.30798,53,128

1.31613,63,129

1.32826,73,130

1.33626,82,131

1.34826,92,132

1.35624,91,133

1.36826,90,134

1.37626,91,135

1.38825,89,136

1.39998,79,137

1.40798,70,138

1.41997,60,139

1.42797,51,140

1.43997,42,141

1.44797,33,142

1.45998,23,143

1.46798,15,144

1.47997,6,145

1.49197,1,146

1.50398,3,147

1.51197,13,148

1.52397,22,149

1.53217,31,150

1.54416,41,151

1.55235,51,152

1.56398,60,153

1.57236,70,154

1.58434,80,155

1.59201,89,156

1.60435,91,157

1.61231,91,158

1.62434,91,159

1.63236,91,160

1.64799,83,161

1.65611,75,162

1.66835,66,163

1.67635,57,164

1.68817,47,165

1.69622,38,166

1.70799,29,167

1.71631,20,168

1.72834,10,169

1.73598,1,170

1.74835,0,171

1.75636,10,172

1.76835,21,173

1.77635,30,174

1.78835,39,175

1.79636,49,176

1.81198,58,177

1.82,68,178

1.83198,78,179

1.84029,87,180

1.85198,90,181

1.86023,91,182

1.87223,91,183

1.88024,91,184

1.89223,83,185

1.90023,74,186

1.91223,64,187

1.92024,55,188

1.93216,45,189

1.94023,37,190

1.95224,28,191

1.96024,18,192

1.97224,8,193

1.98398,0,194

1.99601,0,195

2.00411,8,196

2.01636,17,197

2.02435,28,198

2.03633,37,199

2.04798,46,200

2.05597,56,201

2.06822,66,202

2.07636,75,203

2.08798,85,204

2.09635,91,205

2.10835,90,206

2.11598,91,207

2.12835,91,208

2.13634,84,209

2.14833,76,210

2.15998,67,211

2.17215,58,212

2.18033,49,213

2.19235,39,214

2.20035,30,215

2.21197,21,216

2.22001,11,217

2.23234,2,218

2.24036,0,219

2.25217,7,220

2.26023,16,221

2.27198,26,222

2.2802,36,223

2.29214,45,224

2.30024,54,225

2.31235,64,226

2.32035,74,227

2.33599,83,228

2.34418,92,229

2.35628,90,230

2.36425,91,231

2.37635,91,232

2.38434,87,233

2.39635,77,234

2.40553,68,235

2.41766,59,236

2.42563,50,237

