t,angle,iteration
0.001,60,1
0.00716,48,2
0.01488,54,3
0.02738,59,4
0.03576,65,5
0.0471,70,6
0.05652,76,7
0.06866,81,8
0.07645,87,9
0.08905,91,10
0.09721,91,11
0.10961,91,12
0.11781,91,13
0.12981,91,14
0.13823,91,15
0.1505,91,16
0.15867,91,17
0.17102,85,18
0.1792,80,19
0.19147,74,20
0.19932,68,21
0.21217,62,22
0.22015,56,23
0.23221,51,24
0.24076,46,25
0.25287,40,26
0.26072,34,27
0.2734,28,28
0.28146,23,29
0.29348,17,31
0.30205,11,32
0.3143,6,33
0.32254,0,34
0.33489,0,35
0.34306,5,36
0.35527,11,38
0.36325,16,39
0.37579,22,40
0.38419,27,41
0.39622,33,42
0.40855,38,43
0.41669,44,44
0.42902,49,45
0.43719,55,46
0.44965,60,47
0.45805,66,48
0.47006,71,49
0.47813,77,50
0.49052,83,51
0.49844,88,52
0.51074,90,54
0.51913,91,55
0.53148,91,56
0.53965,91,57
0.55195,91,58
0.55965,91,59
0.57236,91,60
0.58063,89,61
0.59239,83,62
0.6011,77,63
0.61339,72,64
0.62156,66,65
0.63353,60,66
0.64202,55,67
0.65419,49,69
0.66199,43,70
0.67496,38,71
0.68196,32,72
0.6949,26,73
0.70291,21,74
0.71485,15,76
0.72285,9,77
0.73582,4,78
0.7438,1,79
0.75577,1,80
0.76375,7,81
0.77671,13,83
0.78469,18,84
0.79666,24,85
0.80561,29,86
0.8176,34,87
0.82556,40,88
0.83752,45,89
0.8465,51,90
0.85849,56,91
0.86645,62,92
0.87941,68,93
0.88739,73,94
0.89936,78,95
0.90734,84,96
0.9203,90,97
0.92832,91,98
0.94125,91,99
0.94823,91,100
0.96143,91,101
0.96946,91,102
0.98202,91,103
0.98967,91,104
1.00262,88,105
1.01385,82,106
1.0225,77,107
1.03513,71,108
1.04231,66,109
1.05569,60,110
1.06386,54,111
1.07604,48,112
1.08442,43,113
1.09656,37,114
1.10438,32,115
1.11712,26,116
1.12532,20,117
1.13733,15,119
1.14546,9,120
1.15824,3,121
1.16628,1,122
1.17854,2,123
1.18647,7,124
1.19903,13,125
1.20746,19,126
1.21952,24,127
1.22689,29,128
1.23978,35,129
1.24824,40,130
1.26047,46,131
1.2687,51,132
1.28097,57,133
1.28912,62,134
1.30115,68,135
1.30962,73,136
1.32188,79,137
1.33006,84,138
1.34243,90,139
1.35059,91,140
1.36291,91,141
1.37107,91,142
1.38327,91,143
1.39099,91,144
1.40384,91,146
1.41203,91,147
1.42431,87,148
1.43251,81,149
1.44466,76,150
1.45292,70,151
1.46522,65,153
1.47357,59,154
1.48578,53,155
1.49386,48,156
1.506,42,157
1.51445,36,158
1.5266,31,160
1.53496,25,161
1.54723,19,162
1.55539,13,163
1.5677,8,164
1.57611,2,165
1.58814,1,166
1.59637,4,167
1.60866,9,168
1.61684,14,169
1.62881,20,170
1.63736,25,171
1.64959,31,172
1.65776,36,173
1.67002,41,175
1.68236,47,176
1.69057,52,177
1.70253,58,178
1.71101,63,179
1.72348,69,180
1.73151,75,181
1.74381,80,182
1.75194,85,183
1.76382,91,185
1.77252,91,186
1.78472,91,187
1.79235,91,188
1.80522,91,189
1.81361,91,190
1.82543,91,192
1.83389,91,193
1.84538,86,194
1.85335,81,195
1.86678,75,196
1.8749,69,197
1.88734,64,198
1.89538,58,199
1.90765,52,200
1.9158,47,201
1.92822,41,202
1.93632,35,203
1.94851,30,204
1.95678,24,205
1.96906,18,206
1.97751,13,207
1.98946,7,208
1.99768,2,209
2.01012,0,210
2.01799,3,211
2.03049,9,212
2.03873,14,213
2.051,19,214
2.05911,25,215
2.0711,30,216
2.07965,36,217
2.09154,41,219
2.10012,47,220
2.11218,52,221
2.12066,58,222
2.13293,63,223
2.14051,69,224
2.15247,74,226
2.16129,80,227
2.1739,85,228
2.18179,91,229
2.19447,91,230
2.20244,91,231
2.21475,91,232
2.22301,91,233
2.23471,91,234
2.24344,91,235
2.25536,91,236
2.26414,86,237
2.2762,80,238
2.28857,75,239
2.29675,69,240
2.30892,63,241
2.31719,58,242
2.32951,52,243
2.33793,46,244
2.34997,41,245
2.3578,35,246
2.37,29,247
2.37881,24,248
2.39094,18,249
2.39912,12,250
2.41117,7,251
2.4196,1,252
2.43197,0,253
2.4398,5,254
2.45183,10,256
2.46022,15,257
2.47319,20,258
2.48106,26,259
2.49331,32,260
2.50124,37,261
2.51383,42,263
2.52223,48,264
2.53432,54,265
2.54255,59,266
2.55479,64,267
2.56319,70,268
2.57535,76,269
2.58344,81,270
2.59523,86,271
2.60395,91,272
2.61616,91,273
2.62437,91,274
2.63667,91,275
2.6448,91,276
2.65713,91,277
2.66535,91,278
2.6772,91,279
2.68578,85,280
2.69808,80,281
2.70629,74,282
2.71862,69,283
2.72673,63,284
2.73908,57,285
2.74674,52,286
2.75951,46,287
2.76772,40,288
2.77997,34,290
2.7882,29,291
2.80056,23,292
2.80863,18,293
2.82073,12,294
2.82916,6,295
2.84144,1,297
2.84966,0,298
2.86111,5,299
2.86909,11,300
2.88205,17,301
2.89005,22,302
2.90234,28,304
2.91078,33,305
2.92266,39,306
2.93561,44,307
2.9438,49,308
2.95596,55,309
2.96439,61,310
2.97685,66,311
2.98483,72,312
2.99709,77,314
3.00523,83,315
3.01755,88,316
3.02595,90,317
3.03799,91,318
3.04627,91,319
3.05797,91,321
3.0667,91,322
3.07857,91,323
3.08724,91,324
3.0995,91,325
3.10772,85,326
3.11989,79,327
3.12794,73,328
3.14046,67,329
3.14891,62,330
3.16051,56,331
3.16913,51,332
3.18131,45,333
3.18976,39,334
3.20192,33,335
3.20999,28,336
3.22204,22,337
3.23004,17,338
3.24282,11,339
3.25101,5,340
3.26319,0,342
3.27163,1,343
3.28382,6,344
3.29193,12,345
3.30422,17,346
3.31229,23,347
3.32463,28,349
3.33291,34,350
3.34524,39,351
3.35344,45,352
3.36548,50,353
3.37389,55,354
3.38619,61,355
3.39438,67,356
3.40648,72,357
3.41485,77,358
3.4271,83,359
3.4349,89,360
3.44766,90,361
3.45608,91,362
3.46808,91,363
3.47625,91,364
3.48859,91,365
3.49637,91,366
3.50914,91,367
3.52137,91,368
3.52958,85,369
3.54181,79,370
3.54966,73,371
3.56233,68,372
3.57078,62,373
3.58282,56,374
3.59101,51,375
3.60279,45,377
3.61155,39,378
3.62375,34,379
3.63198,28,380
3.64424,22,381
3.65218,17,382
3.6647,11,384
3.67287,5,385
3.68512,0,386
3.69302,1,387
3.70569,6,388
3.71381,12,389
3.72583,17,390
3.73432,23,391
3.74651,28,392
3.75482,34,393
3.76709,39,394
3.77528,45,395
3.78732,50,396
3.79576,56,397
3.80803,61,398
3.81625,67,399
3.82857,72,400
3.83614,78,401
3.8484,83,402
3.85722,89,403
3.86925,90,405
3.87725,91,406
3.88953,91,407
3.89818,91,408
3.91025,91,409
3.91823,91,410
3.93059,91,412
3.93926,89,413
3.95137,83,414
3.95965,77,415
3.97193,72,416
3.98009,66,417
3.99173,60,418
4.00049,55,419
4.01285,49,420
4.02111,44,421
4.03332,38,422
4.041,32,423
4.05275,26,424
4.06202,21,425
4.07423,15,426
4.0824,9,427
4.0947,4,428
4.10291,1,429
4.11522,2,430
4.12342,7,431
4.1355,13,432
4.14382,18,433
4.15615,24,434
4.16368,29,435
4.17665,34,436
4.18893,40,437
4.19732,46,438
4.20934,51,439
4.21763,56,440
4.22954,62,441
4.23806,68,442
4.25003,73,443
4.25839,78,444
4.27083,84,445
4.27908,90,446
4.29125,91,447
4.2995,91,448
4.31181,91,449
4.32021,91,450
4.33232,91,451
4.34054,91,452
4.35244,91,454
4.36101,89,455
4.37327,82,456
4.38151,77,457
4.39382,71,458
4.40199,66,459
4.41407,60,461
4.42244,54,462
4.43473,49,463
4.44313,43,464
4.45522,37,465
4.46329,32,466
4.47548,26,467
4.483,20,468
4.49597,15,469
4.50396,9,470
4.51592,3,471
4.52389,1,472
4.53686,1,473
4.54486,7,474
4.55683,12,475
4.56481,18,476
4.57775,23,477
4.58573,29,478
4.5977,34,479
4.60567,40,480
4.61864,45,481
4.62666,51,482
4.63858,56,483
4.64656,62,484
4.65955,67,485
4.66753,73,486
4.67948,78,487
4.68845,84,488
4.70042,89,489
4.7084,91,490
4.72041,91,491
4.72934,91,492
4.74148,91,494
4.74985,91,495
4.76187,91,496
4.76995,91,497
4.78229,87,498
4.79436,82,499
4.80236,76,500
4.8153,71,501
4.82359,65,502
4.83566,59,503
4.84364,54,504
4.85563,48,505
4.86361,42,506
4.87655,37,507
4.88453,31,508
4.8965,25,509
4.90547,20,510
4.91747,14,511
4.92542,8,512
4.93739,3,513
4.94637,1,514
4.95833,3,515
4.96631,9,516
4.97928,14,517
4.98727,19,518
4.99925,25,519
5.0072,30,520
5.02017,35,521
5.02815,41,522
5.04016,47,524
5.04813,52,525
5.06106,58,526
5.06906,63,527
5.08097,69,528
5.08894,74,529
5.10194,80,531
5.10989,85,532
5.12186,91,533
5.12984,91,534
5.14292,91,535
5.1509,91,536
5.1629,91,537
5.17089,91,538
5.18384,91,539
5.19179,91,540
5.20379,87,541
5.21274,81,542
5.22471,76,543
5.23268,70,544
5.24465,65,545
5.25363,59,546
5.26562,54,547
5.27357,48,548
5.28554,42,549
5.29452,37,550
5.30649,31,551
5.31447,25,552
5.32743,20,553
5.33541,14,554
5.3474,8,555
5.35538,3,556
5.36832,1,557
5.37634,4,558
5.38829,9,559
5.39627,14,560
5.40923,20,561
5.41719,25,562
5.42916,31,563
5.44127,36,564
5.45024,41,565
5.46221,47,566
5.47019,52,567
5.48272,58,568
5.49066,63,569
5.50263,69,570
5.5116,75,571
5.52333,80,572
5.53135,85,573
5.54433,91,574
5.55243,91,575
5.56438,91,576
5.57238,91,577
5.58532,91,578
5.5933,91,579
5.60527,91,581
5.61325,91,582
5.62621,86,583
5.63442,81,584
5.64674,75,585
5.65472,70,586
5.66669,64,588
5.67466,59,589
5.68764,53,590
5.6956,47,591
5.70761,41,592
5.71559,36,593
5.72852,30,595
5.7365,25,596
5.74938,19,597
5.75751,13,598
5.76977,8,599
5.77798,2,600
5.79023,1,601
5.79853,4,602
5.81083,9,603
5.81906,14,604
5.83141,19,605
5.83953,25,606
5.85153,30,607
5.85999,36,608
5.87232,41,609
5.88076,47,610
5.89243,52,611
5.90041,58,612
5.9133,63,613
5.92151,69,614
5.93373,75,616
5.94219,80,617
5.95422,85,618
5.96233,91,619
5.97432,91,620
5.98289,91,621
5.99502,91,623
6.00343,91,624
6.01567,91,625
