t,angle,iteration
0.0,12,1
0.00698,57,2
0.01959,62,3
0.02815,68,4
0.04047,73,5
0.04789,79,6
0.05983,84,8
0.0688,90,9
0.08118,91,10
0.08952,91,11
0.10152,91,12
0.11002,91,13
0.12248,91,14
0.13052,91,15
0.14278,91,16
0.15087,87,17
0.16258,81,18
0.17144,76,19
0.18374,70,20
0.19199,64,21
0.20404,59,22
0.21242,53,23
0.22478,47,24
0.23293,42,25
0.24524,36,26
0.25297,31,27
0.26575,25,28
0.27393,19,29
0.2862,13,30
0.29438,8,31
0.30658,2,32
0.31495,1,33
0.32702,4,35
0.3353,9,36
0.34733,14,37
0.35569,20,38
0.36808,25,39
0.37594,31,40
0.38856,36,42
0.39672,42,43
0.40868,47,44
0.41722,53,45
0.4294,58,46
0.43765,64,47
0.44934,69,49
0.46203,75,50
0.47038,80,51
0.4828,86,52
0.491,91,53
0.50323,91,54
0.51074,91,55
0.52374,91,56
0.53188,91,57
0.5442,91,58
0.55243,91,59
0.5647,91,60
0.57256,87,61
0.58537,81,62
0.59336,76,63
0.60565,70,65
0.61386,65,66
0.62613,59,67
0.63415,53,68
0.6464,48,69
0.65438,42,70
0.6669,37,71
0.67534,31,72
0.68757,25,73
0.69573,19,74
0.70814,14,75
0.71614,8,76
0.72846,3,77
0.73671,1,78
0.74863,3,79
0.75719,9,80
0.76946,14,81
0.77758,19,82
0.78986,25,83
0.79812,30,84
0.81037,35,85
0.8185,41,86
0.83081,47,87
0.83851,52,88
0.85083,57,89
0.85951,63,90
0.87133,69,92
0.88017,74,93
0.89239,79,94
0.90059,85,95
0.91279,91,96
0.92092,91,97
0.93328,91,99
0.94151,91,100
0.95353,91,101
0.96199,91,102
0.97416,91,103
0.98216,91,104
0.99416,87,106
1.00291,81,107
1.01435,76,108
1.02302,70,109
1.03568,65,110
1.04383,59,111
1.05615,53,112
1.06813,48,113
1.0761,42,114
1.08904,36,115
1.09717,31,116
1.10943,25,117
1.1176,19,118
1.12987,13,119
1.13761,8,120
1.15036,2,121
1.15849,1,122
1.17083,4,123
1.17904,9,124
1.19133,14,125
1.19926,20,126
1.21185,25,127
1.22025,31,128
1.23229,36,130
1.24052,42,131
1.25277,47,132
1.26072,53,133
1.2735,58,134
1.28139,64,135
1.2937,69,136
1.30196,75,137
1.31425,80,138
1.32238,86,139
1.33447,91,140
1.3429,91,141
1.35516,91,142
1.36343,91,143
1.3756,91,144
1.38357,91,145
1.39615,91,146
1.40435,91,147
