t,angle,iteration
0.001,60,1
0.01201,27,2
0.01967,30,3
0.03187,33,4
0.04088,36,5
0.05315,39,6
0.06169,42,7
0.0738,45,8
0.08168,48,9
0.09423,51,10
0.10233,54,11
0.11397,56,12
0.12261,60,13
0.13507,63,14
0.14342,66,15
0.15564,69,16
0.16352,72,17
0.17544,75,18
0.18427,78,19
0.19641,81,20
0.20468,83,21
0.21705,87,22
0.22511,90,23
0.23693,91,24
0.24569,91,25
0.25799,91,26
0.26618,91,27
0.2785,91,28
0.28642,91,29
0.29888,91,30
0.30707,91,31
0.31918,91,32
0.3276,91,33
0.33996,91,34
0.3477,91,35
0.36042,91,36
0.36892,89,37
0.37989,85,38
0.38789,82,39
0.40086,78,40
0.40884,75,41
0.42078,71,42
0.42976,68,43
0.44173,64,44
0.44973,61,45
0.46167,57,46
0.47065,54,47
0.48264,50,48
0.4906,47,49
0.50356,43,50
0.51154,39,51
0.52351,36,52
0.53551,32,53
0.54445,29,54
0.55642,25,55
0.5644,22,56
0.57637,18,57
0.58534,15,58
0.59731,11,59
0.60529,7,60
0.61726,4,61
0.62623,0,62
0.6382,1,63
0.64618,5,64
0.65815,7,65
0.66712,10,66
0.67909,13,67
0.68707,16,68
0.70004,19,69
0.70801,22,70
0.71998,25,71
0.72796,28,72
0.74093,31,73
0.7489,34,74
0.76087,37,75
0.76885,40,76
0.78182,43,77
0.79003,46,78
0.80231,49,79
0.81052,52,80
0.8228,55,81
0.83046,58,82
0.84343,61,83
0.85141,64,84
0.86373,67,85
0.87187,70,86
0.88437,73,87
0.89235,76,88
0.90431,79,89
0.91229,82,90
0.92526,85,91
0.93324,88,92
0.9452,91,93
0.95318,91,94
0.96615,91,95
0.97411,91,96
0.98655,91,97
0.99453,91,98
1.00649,91,99
1.01547,91,100
1.02746,91,101
1.03544,91,102
1.04739,91,103
1.05636,91,104
1.06833,91,105
1.07635,91,106
1.08927,87,107
1.09725,84,108
1.10922,80,109
1.11722,76,110
1.13016,73,111
1.13814,69,112
1.15014,66,113
1.16208,62,114
1.17106,59,115
1.18302,55,116
1.191,52,117
1.20396,48,118
1.21208,45,119
1.22436,41,120
1.23256,38,121
1.24483,34,122
1.25314,31,123
1.26541,27,124
1.27361,24,125
1.28591,20,126
1.294,17,127
1.30609,13,128
1.31472,10,129
1.32655,6,130
1.33521,2,131
1.34746,1,132
1.35531,0,133
1.3681,2,134
1.37615,5,135
1.38836,8,136
1.39633,10,137
1.40858,13,138
1.41708,16,139
1.42933,19,140
1.43681,22,141
1.44879,25,142
1.45812,28,143
1.47036,31,144
1.47841,34,145
1.49088,37,146
1.49899,40,147
1.51096,43,148
1.5193,46,149
1.53082,49,150
1.5396,52,151
1.55253,55,152
1.56049,58,153
1.57275,61,154
1.58091,64,155
1.59309,67,156
1.6009,70,157
1.61269,73,158
1.62166,76,159
1.63366,79,160
1.64191,82,161
1.65471,85,162
1.66284,88,163
1.67512,91,164
1.68355,91,165
1.69561,91,166
1.70377,91,167
1.71612,91,168
1.72428,91,169
1.7363,91,170
1.74436,91,171
1.75705,91,172
1.76522,91,173
1.77756,91,174
1.78979,91,175
1.79728,91,176
1.80993,91,177
1.81787,87,178
1.82965,83,179
1.83895,79,180
1.85079,76,181
1.85896,73,182
1.8715,69,183
1.87968,65,184
1.89223,62,185
1.90039,58,186
1.91226,55,187
1.92097,51,188
1.93295,48,189
1.94068,44,190
1.95364,41,191
1.96213,37,192
1.9741,34,193
1.98169,30,194
1.99427,27,195
2.00239,23,196
2.01395,20,197
2.02258,16,198
2.03488,12,199
2.04328,9,200
2.056,5,201
2.06385,2,202
2.07645,1,203
2.0847,3,204
2.09613,6,205
2.10522,9,206
2.11742,12,207
2.12563,14,208
2.1377,18,209
2.14607,20,210
2.15839,24,211
2.16638,26,212
2.1784,29,213
2.18664,32,214
2.19903,35,215
2.20743,38,216
2.2199,41,217
2.22766,44,218
2.24026,47,219
2.24861,50,220
2.26035,53,221
2.26862,56,222
2.28142,59,223
2.28949,62,224
2.30096,65,225
