t,angle,iteration
0.0,32,1
0.0,38,2
0.00404,43,3
0.00404,49,4
0.00404,55,5
0.00404,61,6
0.00404,67,7
0.00404,72,8
0.00404,78,9
0.00404,84,10
0.00404,90,11
0.00404,91,12
0.00404,91,13
0.00404,91,14
0.00404,91,15
0.00404,91,16
0.00404,91,17
0.00404,91,18
0.00404,86,19
0.00404,81,20
0.00804,75,21
0.00804,69,22
0.00804,63,23
0.00804,57,24
0.00804,51,25
0.00804,45,26
0.00804,39,27
0.00804,33,28
0.00804,27,29
0.00804,21,30
0.012,16,31
0.012,10,32
0.012,4,33
0.012,1,34
0.012,5,35
0.012,10,36
0.012,15,37
0.012,21,38
0.012,27,39
0.012,33,40
0.012,38,41
0.016,44,42
0.016,50,43
0.016,56,44
0.016,62,45
0.016,68,46
0.016,73,47
0.016,79,48
0.016,85,49
0.016,91,50
0.02,91,51
0.02,91,52
0.02,91,53
0.02,91,54
0.02,91,55
0.02,91,56
0.02,89,57
0.02,82,58
0.024,76,59
0.024,71,60
0.024,65,61
0.024,59,62
0.024,53,63
0.024,47,64
0.024,41,65
0.024,35,66
0.024,29,67
0.024,23,68
0.024,17,69
0.024,11,70
0.024,5,71
0.024,0,72
0.024,1,73
0.02804,5,74
0.02804,11,75
0.02804,17,76
0.02804,23,77
0.02804,28,78
0.02804,34,79
0.02804,40,80
0.02804,46,81
0.02804,52,82
0.02804,57,83
0.02804,63,84
0.02804,69,85
0.02804,75,86
0.03201,80,87
0.03201,86,88
0.03201,91,89
0.03201,91,90
0.03201,91,91
0.03201,91,92
0.03201,91,93
0.03201,91,94
0.03201,91,95
0.03201,86,96
0.03201,81,97
0.03201,75,98
0.03201,69,99
0.03201,63,100
0.036,57,101
0.036,51,102
0.036,45,103
0.036,39,104
0.036,33,105
0.036,27,106
0.036,21,107
0.036,15,108
0.036,9,109
0.036,3,110
0.036,1,111
0.036,1,112
0.036,7,113
0.036,13,114
0.036,19,115
0.04004,25,116
0.04004,30,117
0.04004,36,118
0.04004,42,119
0.04004,48,120
0.04004,54,121
0.04004,59,122
0.04004,65,123
0.04004,71,124
0.04004,77,125
0.04004,83,126
0.04004,88,127
0.04004,90,128
0.04004,91,129
