t,angle,iteration
0.0,39,1
0.008,1,2
0.02016,0,3
0.02837,8,4
0.0402,16,5
0.052,24,6
0.06037,32,7
0.07235,40,8
0.08038,48,9
0.09233,56,10
0.10019,64,11
0.11232,72,12
0.12039,79,13
0.1323,87,14
0.14037,90,15
0.156,91,16
0.16419,91,17
0.17627,91,18
0.18426,91,19
0.19626,84,20
0.20426,76,21
0.21626,68,22
0.22425,60,23
0.23624,53,24
0.24427,45,25
0.25626,37,26
0.26437,30,27
0.27638,22,28
0.28437,14,29
0.29639,6,30
0.30438,0,31
0.32,5,32
0.324,13,33
0.34022,20,34
0.34835,27,35
0.36038,35,36
0.36801,43,37
0.38038,51,38
0.38838,59,39
0.40037,68,40
0.40832,76,41
0.42036,84,42
0.42837,91,43
0.44003,91,44
0.448,91,45
0.46037,91,46
0.46837,91,47
0.48038,87,48
0.48832,79,49
0.50422,72,50
0.51238,64,51
0.52438,57,52
0.53238,49,53
0.54439,41,54
0.55239,33,55
0.56438,26,56
0.57238,18,57
0.58438,10,58
0.59235,3,59
0.60438,1,60
0.61239,7,61
0.62422,14,62
0.63226,22,63
0.64404,30,64
0.65204,39,65
0.664,47,66
0.676,55,67
0.688,63,68
0.7,71,69
0.708,78,70
0.72,86,71
0.728,90,72
0.74,91,73
0.74803,91,74
0.76003,91,75
0.76803,91,76
0.78003,86,77
0.78803,79,78
0.8,71,79
0.80803,64,80
0.82003,56,81
0.82803,48,82
0.84003,40,83
0.852,33,84
0.864,25,85
0.872,17,86
0.88403,10,87
0.89203,2,88
0.90403,0,89
0.91203,5,90
0.92403,13,91
0.93203,20,92
0.94403,28,93
0.95203,35,94
0.96403,44,95
0.97203,52,96
0.984,60,97
0.9922,68,98
1.008,76,99
1.01204,84,100
1.028,92,101
1.03639,91,102
1.04838,91,103
1.05637,91,104
1.06837,91,105
1.07627,84,106
1.0882,76,107
1.09629,68,108
1.10828,60,109
1.11628,53,110
1.12827,46,111
1.13638,38,112
1.14837,30,113
1.15638,23,114
1.172,15,115
1.18,7,116
1.19227,0,117
1.20039,3,118
1.21293,12,119
1.22097,20,120
1.23317,27,121
1.24121,35,122
1.25321,43,123
1.26122,51,124
1.27321,59,125
1.28518,67,126
1.29322,75,127
1.30518,83,128
1.31321,91,129
1.32496,91,130
1.33296,91,131
1.34528,91,132
1.3533,91,133
1.36528,91,134
1.37331,83,135
1.38893,75,136
1.3971,67,137
1.40931,59,138
1.41732,52,139
1.42893,44,140
1.43721,36,141
1.44921,29,142
1.45712,21,143
1.46928,13,144
1.47728,5,145
1.48893,0,146
1.49726,5,147
1.5093,13,148
1.5173,20,149
1.52929,28,150
1.5373,36,151
1.55294,44,152
1.56094,52,153
1.57311,60,154
1.5812,68,155
1.59312,76,156
1.60119,84,157
1.61332,92,158
1.62131,90,159
1.63331,91,160
1.64129,91,161
1.6533,91,162
1.6613,87,163
1.67332,79,164
1.68131,72,165
1.69331,64,166
1.70128,56,167
1.7133,49,168
1.72493,41,169
1.73696,33,170
1.74514,25,171
1.75731,18,172
1.76531,10,173
1.7773,3,174
1.7853,1,175
1.7972,6,176
1.80518,13,177
1.8172,21,178
1.82522,29,179
1.8372,38,180
1.8452,46,181
1.85693,54,182
1.86493,62,183
