t,angle,iteration

0.0,1,1

0.0,60,2

0.00432,0,3

0.008,70,4

0.02,70,5

0.02838,70,6

0.04,70,7

0.04837,70,8

0.06403,70,9

0.07202,70,10

0.08437,70,11

0.0923,70,12

0.10435,70,13

0.11238,70,14

0.12437,70,16

0.13237,70,17

0.144,70,18

0.15235,70,19

0.16435,70,20

0.17236,70,21

0.18437,70,22

0.19316,70,23

0.20517,70,24

0.21316,70,25

0.22645,70,26

0.23444,70,27

0.24644,70,29

0.25443,70,30

0.26643,70,31

0.27443,70,32

0.28644,70,33

0.29444,70,34

0.31007,70,36

0.31808,70,37

0.33028,70,38

0.33843,70,39

0.35042,70,40

0.35809,70,41

0.37033,70,43

0.3823,70,44

0.39035,70,45

0.40229,70,46

0.41034,70,47

0.42214,70,48

0.43032,70,49

0.44233,70,51

0.45033,70,52

0.46232,70,53

0.47412,70,54

0.48607,70,55

0.49408,69,56

0.5063,68,57

0.51407,68,58

0.52607,67,59

0.53407,66,60

0.54611,65,61

0.55441,65,62

0.56645,64,64

0.57445,63,65

0.58644,63,66

0.59445,62,67

0.60644,61,68

0.61444,61,69

0.62634,60,71

0.63434,59,72

0.64607,58,73

0.65807,58,74

0.67021,57,75

0.67834,56,76

0.69043,56,77

0.69845,55,78

0.71044,54,79

0.71842,54,80

0.73045,53,81

0.73844,52,82

0.75034,52,83

0.75835,51,84

0.77034,50,85

0.77834,50,86

0.79035,49,88

0.79835,48,89

0.81034,47,90

0.82211,47,91

0.8301,46,92

0.84223,45,93

0.85444,45,94

0.86243,44,95

0.87444,43,96

0.88244,43,97

0.89434,42,99

0.90234,41,100

0.91431,40,101

0.9264,40,102

0.93444,39,103

0.94639,38,104

0.95445,38,105

0.96638,37,106

0.97445,36,107

0.98644,36,108

0.99807,35,109

1.01023,34,110

1.01808,34,111

1.03008,33,112

1.03812,32,113

1.05039,32,115

1.05845,31,116

1.07042,30,117

1.07843,29,118

1.09044,29,119

1.09843,28,120

1.11033,27,122

1.11835,27,123

1.13035,26,124

1.13835,25,125

1.15035,25,127

1.16207,24,128

1.17408,23,129

1.18227,22,130

1.19434,22,131

1.20235,21,132

1.21411,20,134

1.22244,20,135

1.23445,19,136

1.24245,18,137

1.25444,18,138

1.26313,17,139

1.27551,16,140

1.28349,15,141

1.29651,15,142

1.30446,14,143

1.31653,13,145

1.32454,13,146

1.33652,12,147

1.34443,11,148

1.35644,11,149

1.36443,10,150

1.37644,9,152

1.38442,9,153

1.39638,8,154

1.40443,7,155

1.41642,6,156

1.42815,6,157

1.44016,5,158

1.44831,4,159

1.46016,4,160

1.46815,3,161

1.48048,2,163

1.48845,2,164

1.50053,1,165

1.50919,1,166

1.5215,1,168

1.52999,2,169

1.5416,3,170

1.5496,3,171

1.56193,4,172

1.56998,5,173

1.58198,5,174

1.58999,6,175

1.60198,6,176

1.60999,7,177

1.62188,8,178

1.62986,8,179

1.64187,9,181

1.64988,10,182

1.66561,10,183

1.67361,11,184

1.68586,11,185

1.69387,12,186

1.70588,13,188

1.71385,13,189

1.72587,14,190

1.73398,15,191

1.74598,15,192

1.75399,16,193

1.76585,17,194

1.77386,17,195

1.78587,18,197

1.79779,19,198

1.80586,19,199

1.81763,20,200

1.82966,21,201

1.84162,21,202

1.84962,22,203

1.86185,23,204

1.86987,23,205

1.88186,24,206

1.88987,24,207

1.90187,25,208

1.90986,26,209

1.92187,26,211

1.92985,27,212

1.94186,28,213

1.94986,28,214

1.96178,29,215

1.96987,30,216

1.98186,30,218

1.99366,31,219

2.00561,32,220

2.01361,32,221

2.0258,33,222

2.03387,33,223

2.04586,34,224

2.05361,35,225

2.06597,35,226

2.07397,36,227

2.08599,37,228

2.09398,37,229

2.10598,38,231

2.11399,39,232

2.12595,39,233

2.13397,40,234

2.14597,41,235

2.15397,41,236

2.16961,42,238

2.17763,43,239

2.18983,43,240

2.19798,44,241

2.20998,45,242

2.21761,45,243

2.22988,46,244

2.23789,46,245

2.24998,47,246

2.25796,48,247

2.26998,48,248

2.27762,49,249

2.28987,50,251

2.29787,50,252

2.30997,51,253

2.31798,52,254

2.32998,52,255

2.34249,53,256

2.35112,54,257

2.36334,54,258

2.3714,55,259

2.38333,56,260

2.39141,56,261

2.40392,57,262

2.41223,57,263

2.42422,58,264

2.43222,59,265

2.4455,59,266

2.45377,60,267

2.46579,61,268

2.47419,61,269

2.48672,62,271

2.49477,63,272

2.50676,63,273

2.51449,64,274

2.52649,65,275

2.53476,65,276

2.54649,66,278

2.55449,67,279

2.57063,68,280

2.57886,68,281

2.59085,69,282

2.59884,69,283

2.61085,70,285

2.61888,70,286

2.63073,70,287

2.63872,70,288

2.65063,70,289

2.65876,70,290

2.67091,70,291

2.67861,70,292

2.69098,70,294

2.69898,70,295

2.71121,70,296

2.71997,70,297

2.73257,70,299

2.74059,70,300

2.75316,70,301

2.76146,70,302

2.77345,70,303

2.78146,70,304

2.79346,70,306

2.80146,70,307

2.81345,70,308

2.82146,70,309

2.83719,70,310

2.84519,70,311

2.85734,70,312

2.86546,70,313

2.87745,70,314

2.88545,70,315

2.89745,70,316

2.90945,70,317

2.91747,70,318

2.92942,70,319

2.93744,70,320

2.94941,70,321

2.95746,70,322

2.96946,70,323

2.97745,70,324

2.98946,70,325

2.99745,70,326

3.01319,70,327

3.02119,70,328

3.03336,70,329

3.04143,70,330

3.05342,70,331

3.06147,70,332

3.07345,70,334

3.08155,70,335

3.09356,70,336

3.10133,70,337

3.11356,70,338

3.12156,70,339

3.13356,70,341

3.14155,70,342

3.15354,70,343

3.16157,70,344

3.17357,70,345

3.18519,70,346

3.19411,70,347

3.20239,70,348

3.21415,70,349

3.22612,70,350

3.23835,70,351

3.24649,70,352

3.25848,70,353

3.26638,70,354

3.27838,70,355

3.28633,70,356

3.29849,70,358

3.30646,70,359

3.31848,70,360

3.32647,70,361

3.33848,69,362

3.3468,68,363

3.35941,68,365

3.36744,67,366

3.37936,66,367

3.38755,65,368

3.39952,65,369

3.40756,64,370

3.41955,63,371

3.42756,63,372

3.44319,62,374

3.45522,61,375

3.46346,61,376

3.47581,60,377

3.48399,59,378

3.49629,58,379

3.50436,58,380

3.51609,57,381

3.52408,56,382

3.53646,56,383

3.54408,55,384

3.55608,54,386

3.56408,54,387

3.57644,53,388

3.58446,52,389

3.59646,52,390

3.60444,51,391

3.61646,50,393

3.62809,50,394

3.64012,49,395

3.64809,48,396

3.6602,47,397

3.66841,47,398

3.68045,46,400

3.68808,45,401

3.70039,45,402

3.70845,44,403

3.72044,43,404

3.72808,43,405

3.74045,42,407

3.74843,41,408

3.76045,40,409

3.76845,40,410

3.78044,39,411

3.78899,38,412

3.80088,38,414

3.80889,37,415

3.82088,36,416

3.82888,36,417

3.84462,35,418

3.85262,34,419

3.86489,33,420

3.87299,33,421

3.88498,32,422

3.89298,31,423

3.905,31,424

3.91295,30,425

3.92499,29,427

3.93299,29,428

3.94499,28,429

3.95299,27,430

3.96495,27,431

3.97323,26,432

3.98552,25,434

3.99744,25,435

4.0055,24,436

4.01743,23,437

4.02525,22,438

4.04123,22,439

4.04923,21,440

4.06141,20,441

4.06923,20,442

4.08126,19,443

4.08961,18,444

4.10159,18,445

4.1096,17,446

4.1216,16,447

4.12957,15,448

4.1415,15,449

4.14926,14,450

4.16235,13,451

4.17034,13,452

4.18209,12,454

4.19035,11,455

4.20305,11,456

4.21135,10,457

4.22335,9,459

4.23111,8,460

4.2431,8,461

4.25136,7,462

4.26344,6,463

4.27215,6,464

4.28443,5,466

4.29243,4,467

4.30418,4,468

4.31243,3,469

4.32443,2,470

4.33616,2,471

4.34816,1,472

4.35632,1,473

4.36841,1,474

4.37643,2,475

4.38819,3,476

4.39617,3,477
