t,angle,iteration

0.001,0,1

0.001,52,2

0.001,60,3

0.002,31,4

0.003,22,5

0.003,14,6

0.003,6,7

0.004,3,8

0.004,3,9

0.006,5,10

0.006,13,11

0.006,20,12

0.007,28,13

0.007,36,14

0.007,44,15

0.008,52,16

0.008,60,17

0.008,84,18

0.008,84,19

0.009,84,20

0.009,84,21

0.009,84,22

0.009,84,23

0.01,76,24

0.01,67,25

0.01,59,26

0.011,51,27

0.011,42,28

0.012,34,29

0.013,26,30

0.013,17,31

0.013,9,32

0.014,1,33

0.014,5,34

0.015,3,35

0.015,11,36

0.016,18,37

0.016,26,38

0.016,34,39

0.017,42,40

0.017,50,41

0.018,58,42

0.018,65,43

0.018,73,44

0.019,81,45

0.019,84,46

0.019,84,47

0.019,84,48

0.02,84,49

0.02,84,50

0.02,82,51

0.021,74,52

0.021,66,53

0.021,57,54

0.021,49,55

0.023,41,56

0.023,32,57

0.024,24,58

0.025,15,59

0.025,7,60

0.025,1,61

0.026,3,62

0.026,5,63

0.026,13,64

0.027,20,65

0.027,28,66

0.028,36,67

0.028,44,68

0.028,52,69

0.029,59,70

0.029,67,71

0.03,75,72

0.03,83,73

0.03,84,74

0.031,84,75

0.031,84,76

0.031,84,77

0.031,84,78

0.032,80,79

0.032,72,80

0.032,64,81

0.032,55,82

0.033,47,83

0.033,38,84

0.033,30,85

0.033,22,86

0.034,13,87

0.034,5,88

0.034,3,89

0.034,1,90

0.035,7,91

0.035,14,92

0.035,22,93

0.035,30,94

0.036,38,95

0.036,46,96

0.036,53,97

0.036,61,98

0.037,69,99

0.037,77,100

0.037,84,101

0.037,84,102

0.038,84,103

0.038,84,104

0.038,84,105

0.039,84,106

0.039,78,107

0.04,70,108

0.04,61,109

0.041,53,110

0.041,45,111

0.041,36,112

0.042,28,113

0.042,19,114

0.043,11,115

0.043,3,116

0.043,6,117

0.043,1,118

0.043,9,119

0.044,16,120

0.044,24,121

0.044,32,122

0.044,40,123

0.045,48,124

0.045,55,125

0.045,63,126

0.045,71,127

0.046,79,128

0.046,84,129

0.046,84,130

0.046,84,131

0.047,84,132

0.047,84,133

0.047,84,134

0.047,76,135

0.048,68,136

0.048,59,137

0.048,51,138

0.048,43,139

0.049,34,140

0.049,26,141

0.049,17,142

0.049,9,143

0.05,1,144

0.05,6,145

0.05,2,146

0.05,9,147

0.051,17,148

0.051,25,149

0.051,33,150

0.051,40,151

0.052,49,152

0.052,56,153

0.052,64,154

0.052,72,155

0.052,80,156

0.053,84,157

0.053,84,158

0.053,84,159

0.053,84,160

0.054,84,161

0.054,84,162

0.054,75,163

0.054,67,164

0.055,59,165

0.067,50,166

0.12,42,167

0.169,33,168

0.218,25,169

0.272,17,170

0.321,8,171

0.37,0,172

0.423,6,173

0.472,2,174

0.521,10,175

0.575,18,176

0.624,26,177

0.677,33,178

0.727,41,179

0.776,49,180

0.829,57,181

0.878,65,182

0.927,73,183

0.981,81,184

1.029,84,185

1.082,84,186

1.132,84,187

1.181,84,188

1.234,84,189

1.283,83,190

1.333,75,191

1.386,66,192

1.435,58,193

1.484,50,194

1.538,41,195

1.587,33,196

1.639,24,197

1.688,16,198

1.739,8,199

1.791,1,200

1.84,5,201

1.89,3,202

1.943,11,203

1.993,18,204

2.041,26,205

2.094,34,206

2.143,42,207

2.196,50,208

2.245,58,209

2.294,65,210

2.348,73,211

2.397,81,212

2.447,84,213

2.5,84,214

2.549,84,215

2.602,84,216

2.651,84,217

2.701,82,218

2.753,74,219

2.803,65,220

2.852,57,221

2.905,49,222

2.955,40,223

3.007,32,224

3.057,24,225

3.106,15,226

3.159,7,227

3.208,1,228

3.257,4,229

3.311,4,230

3.36,11,231

3.41,19,232

3.462,27,233

3.512,35,234

3.564,43,235

3.613,51,236

3.663,58,237

3.716,66,238

3.766,74,239

3.814,82,240

3.868,84,241

3.917,84,242

3.966,84,243

4.019,84,244

4.069,84,245

4.122,82,246

4.17,74,247

4.22,65,248

4.273,57,249

4.323,49,250

4.372,40,251

4.425,32,252

4.475,24,253

4.527,15,254

4.577,7,255

4.626,1,256

4.679,3,257

4.728,4,258

4.777,12,259

4.831,20,260

4.88,28,261

4.929,36,262

4.982,43,263

5.032,51,264

5.084,59,265

5.135,67,266

5.182,75,267

5.236,83,268

5.285,84,269

5.334,84,270

5.387,84,271

5.437,84,272

5.486,84,273

5.539,81,274

5.588,73,275

5.641,64,276

5.69,56,277

5.74,47,278

5.793,39,279

5.843,31,280

5.892,22,281

5.945,14,282

5.993,6,283

6.046,3,284

6.096,2,285

6.145,5,286

6.198,13,287

6.248,21,288

6.297,29,289

6.35,36,290

6.4,44,291

6.45,52,292

6.502,60,293

6.551,68,294

6.603,76,295

6.653,84,296

6.702,84,297

6.755,84,298

6.804,84,299

6.853,84,300

17.186,84,301

Start of phase: 8.101404599999999 s
