t,angle,iteration
0.001,32,1
0.002,35,2
0.002,39,3
0.002,42,4
0.002,45,5
0.003,48,6
0.003,51,7
0.004,55,8
0.004,58,9
0.004,61,10
0.005,64,11
0.006,23,12
0.007,26,13
0.007,29,14
0.007,32,15
0.007,35,16
0.008,39,17
0.008,42,18
0.008,45,19
0.008,48,20
0.008,51,21
0.009,55,22
0.009,58,23
0.009,61,24
0.009,64,25
0.01,23,26
0.011,26,27
0.011,29,28
0.012,32,29
0.012,35,30
0.012,39,31
0.013,42,32
0.013,45,33
0.014,48,34
0.014,51,35
0.014,55,36
0.015,58,37
0.015,61,38
0.016,64,39
0.016,15,40
0.017,11,41
0.017,8,42
0.017,4,43
0.017,1,44
0.018,4,45
0.018,7,46
0.018,10,47
0.018,13,48
0.018,16,49
0.019,20,50
0.019,23,51
0.019,26,52
0.019,29,53
0.02,32,54
0.02,36,55
0.02,39,56
0.021,42,57
0.021,45,58
0.022,48,59
0.022,52,60
0.022,55,61
0.023,58,62
0.023,61,63
0.023,64,64
0.023,68,65
0.023,71,66
0.024,71,67
0.024,71,68
0.024,71,69
0.024,71,70
0.024,71,71
0.025,71,72
0.025,71,73
0.025,71,74
0.025,71,75
0.025,71,76
0.026,71,77
0.026,71,78
0.026,71,79
0.026,69,80
0.026,65,81
0.027,62,82
0.027,58,83
0.027,55,84
0.027,51,85
0.027,48,86
0.028,44,87
0.028,41,88
0.028,37,89
0.028,34,90
0.028,30,91
0.029,27,92
0.029,23,93
0.029,20,94
0.029,16,95
0.03,12,96
0.03,9,97
0.03,6,98
0.03,2,99
0.03,3,100
0.031,6,101
0.031,9,102
0.031,12,103
0.031,15,104
0.031,19,105
0.032,22,106
0.032,25,107
0.032,28,108
0.032,31,109
0.033,34,110
0.033,38,111
0.033,41,112
0.033,44,113
0.034,47,114
0.034,50,115
0.034,54,116
0.035,57,117
0.035,60,118
0.036,63,119
0.036,67,120
0.036,70,121
0.037,71,122
0.037,71,123
0.037,71,124
0.038,71,125
0.038,71,126
0.038,71,127
0.038,71,128
0.038,71,129
0.039,71,130
0.039,71,131
0.039,71,132
0.039,71,133
0.039,71,134
0.04,70,135
0.04,66,136
0.04,63,137
0.04,59,138
0.04,56,139
0.041,52,140
0.041,49,141
0.041,45,142
0.041,42,143
0.041,38,144
0.041,35,145
0.042,31,146
0.042,28,147
0.042,24,148
0.042,21,149
0.042,17,150
0.043,14,151
0.043,10,152
0.043,7,153
0.043,3,154
0.043,2,155
0.043,5,156
0.044,8,157
0.044,11,158
0.044,14,159
0.044,17,160
0.044,21,161
0.045,24,162
0.045,27,163
0.045,30,164
0.045,33,165
0.046,36,166
0.046,40,167
0.046,43,168
0.046,46,169
0.047,49,170
0.047,52,171
0.047,56,172
0.047,59,173
0.047,62,174
0.048,65,175
0.048,69,176
0.048,71,177
0.048,71,178
0.048,71,179
0.049,71,180
0.049,71,181
0.049,71,182
0.05,71,183
0.05,71,184
0.05,71,185
0.051,71,186
0.051,71,187
0.051,71,188
0.052,71,189
0.052,71,190
0.053,68,191
0.053,64,192
0.054,61,193
0.054,57,194
0.054,54,195
0.054,50,196
0.054,47,197
0.055,43,198
0.055,40,199
0.055,36,200
0.055,33,201
0.055,29,202
0.056,26,203
0.056,22,204
0.056,19,205
0.056,15,206
0.056,12,207
0.057,8,208
0.057,5,209
0.057,1,210
0.057,4,211
0.057,7,212
0.057,10,213
0.058,13,214
0.058,16,215
0.058,19,216
0.058,22,217
0.058,26,218
0.059,29,219
0.059,32,220
0.059,35,221
0.059,38,222
0.059,42,223
0.06,45,224
0.06,48,225
0.06,51,226
0.06,54,227
0.06,58,228
0.061,61,229
0.061,64,230
0.061,67,231
0.061,70,232
0.061,71,233
0.062,71,234
0.062,71,235
0.062,71,236
0.062,71,237
0.062,71,238
0.063,71,239
0.063,71,240
0.063,71,241
0.063,71,242
0.063,71,243
0.064,71,244
0.064,71,245
0.064,69,246
0.064,65,247
0.064,62,248
0.064,58,249
0.065,55,250
0.065,51,251
0.065,48,252
0.065,45,253
0.066,41,254
0.066,38,255
0.066,34,256
0.067,31,257
0.067,27,258
0.068,24,259
0.068,20,260
0.068,16,261
0.068,13,262
0.068,10,263
0.069,6,264
0.069,3,265
0.069,2,266
0.069,6,267
0.069,9,268
0.07,12,269
0.07,15,270
0.07,18,271
0.07,21,272
0.07,25,273
0.071,28,274
0.071,31,275
0.071,34,276
0.071,37,277
0.071,40,278
0.072,44,279
0.072,47,280
0.072,50,281
0.072,53,282
0.072,56,283
0.073,60,284
0.073,63,285
0.073,66,286
0.073,69,287
0.073,71,288
0.074,71,289
0.074,71,290
0.074,71,291
0.074,71,292
0.074,71,293
0.075,71,294
0.075,71,295
0.075,71,296
0.075,71,297
0.075,71,298
0.076,71,299
0.076,71,300
0.076,70,301
0.076,67,302
0.076,63,303
0.077,60,304
0.077,56,305
0.077,53,306
0.077,49,307
0.077,46,308
0.078,42,309
0.078,39,310
0.078,35,311
0.078,32,312
0.078,28,313
0.079,25,314
0.079,21,315
0.079,18,316
0.079,14,317
0.079,11,318
0.08,7,319
0.08,4,320
0.08,1,321
0.08,4,322
0.08,8,323
0.08,11,324
0.081,14,325
0.081,17,326
0.081,20,327
0.081,24,328
0.081,27,329
0.082,30,330
0.082,33,331
0.082,36,332
0.082,39,333
0.083,43,334
0.083,46,335
0.083,49,336
0.084,52,337
0.084,55,338
0.084,59,339
0.084,62,340
0.085,65,341
0.085,68,342
0.085,71,343
0.085,71,344
0.085,71,345
0.086,71,346
0.086,71,347
0.086,71,348
0.086,71,349
0.086,71,350
0.087,71,351
0.087,71,352
0.087,71,353
0.087,71,354
0.087,71,355
