t,angle,iteration,phase angle
0.001,60,1,84.38877
0.00716,48,2,89.66888
0.01488,54,3,96.28615
0.02738,59,4,107.00065
0.03576,65,5,114.18366
0.0471,70,6,123.90385
0.05652,76,7,131.9783
0.06866,81,8,142.38422
0.07645,87,9,149.0615
0.08905,91,10,159.86171
0.09721,91,11,166.85614
0.10961,91,12,177.48492
0.11781,91,13,184.51363
0.12981,91,14,194.79955
0.13823,91,15,202.01684
0.1505,91,16,212.53419
0.15867,91,17,219.53719
0.17102,85,18,230.12312
0.1792,80,19,237.13469
0.19147,74,20,247.65204
0.19932,68,21,254.38074
0.21217,62,22,265.39525
0.22015,56,23,272.23539
0.23221,51,24,282.57274
0.24076,46,25,289.90146
0.25287,40,26,300.28166
0.26072,34,27,307.01037
0.2734,28,28,317.87916
0.28146,23,29,324.78787
0.29348,17,31,335.09093
0.30205,11,32,342.43679
0.3143,6,33,352.937
0.32254,0,34,360.0
0.33489,0,35,370.58593
0.34306,5,36,377.58892
0.35527,11,38,388.05485
0.36325,16,39,394.89498
0.37579,22,40,405.64377
0.38419,27,41,412.84391
0.39622,33,42,423.15555
0.40855,38,43,433.72433
0.41669,44,44,440.70161
0.42902,49,45,451.2704
0.43719,55,46,458.27339
0.44965,60,47,468.95361
0.45805,66,48,476.15375
0.47006,71,49,486.44824
0.47813,77,50,493.36552
0.49052,83,51,503.98574
0.49844,88,52,510.77444
0.51074,90,54,521.31751
0.51913,91,55,528.50908
0.53148,91,56,539.09501
0.53965,91,57,546.09801
0.55195,91,58,556.64108
0.55965,91,59,563.24121
0.57236,91,60,574.13571
0.58063,89,61,581.22442
0.59239,83,62,591.30463
0.6011,77,63,598.77049
0.61339,72,64,609.30499
0.62156,66,65,616.30798
0.63353,60,66,626.56819
0.64202,55,67,633.84548
0.65419,49,69,644.27711
0.66199,43,70,650.96296
0.67496,38,71,662.08033
0.68196,32,72,668.08045
0.6949,26,73,679.1721
0.70291,21,74,686.03795
0.71485,15,76,696.27244
0.72285,9,77,703.12972
0.73582,4,78,714.24708
0.7438,1,79,721.08722
0.75577,1,80,731.34743
0.76375,7,81,738.18756
0.77671,13,83,749.29636
0.78469,18,84,756.13649
0.79666,24,85,766.3967
0.80561,29,86,774.06828
0.8176,34,87,784.34563
0.82556,40,88,791.16862
0.83752,45,89,801.42026
0.8465,51,90,809.11755
0.85849,56,91,819.3949
0.86645,62,92,826.2179
0.87941,68,93,837.32669
0.88739,73,94,844.16683
0.89936,78,95,854.42703
0.90734,84,96,861.26717
0.9203,90,97,872.37596
0.92832,91,98,879.25038
0.94125,91,99,890.33346
0.94823,91,100,896.31644
0.96143,91,101,907.63095
0.96946,91,102,914.51395
0.98202,91,103,925.27988
0.98967,91,104,931.83715
1.00262,88,105,942.93737
1.01385,82,106,952.56328
1.0225,77,107,959.97771
1.03513,71,108,970.80364
1.04231,66,109,976.95805
1.05569,60,110,988.42685
1.06386,54,111,995.42985
1.07604,48,112,1005.87006
1.08442,43,113,1013.05306
1.09656,37,114,1023.45898
1.10438,32,115,1030.16197
1.11712,26,116,1041.08219
1.12532,20,117,1048.1109
1.13733,15,119,1058.4054
1.14546,9,120,1065.37411
1.15824,3,121,1076.32861
1.16628,1,122,1083.22018
1.17854,2,123,1093.72896
1.18647,7,124,1100.52624
1.19903,13,125,1111.29217
1.20746,19,126,1118.51803
1.21952,24,127,1128.85538
1.22689,29,128,1135.17265
1.23978,35,129,1146.22144
1.24824,40,130,1153.47301
1.26047,46,131,1163.95608
1.2687,51,132,1171.01051
1.28097,57,133,1181.52786
1.28912,62,134,1188.51371
1.30115,68,135,1198.82535
1.30962,73,136,1206.08549
1.32188,79,137,1216.59427
1.33006,84,138,1223.60584
1.34243,90,139,1234.20891
1.35059,91,140,1241.20334
1.36291,91,141,1251.76355
1.37107,91,142,1258.75797
1.38327,91,143,1269.21533
1.39099,91,144,1275.8326
1.40384,91,146,1286.84711
1.41203,91,147,1293.86725
1.42431,87,148,1304.39317
1.43251,81,149,1311.42189
1.44466,76,150,1321.83638
1.45292,70,151,1328.91652
1.46522,65,153,1339.45959
1.47357,59,154,1346.61687
1.48578,53,155,1357.0828
1.49386,48,156,1364.00865
1.506,42,157,1374.41457
1.51445,36,158,1381.65758
1.5266,31,160,1392.07207
