t,angle,iteration,phase angle
0.0,12,1,-994.68138
0.00698,57,2,-988.6984
0.01959,62,3,-977.88961
0.02815,68,4,-970.55232
0.04047,73,5,-959.99211
0.04789,79,6,-953.63199
0.05983,84,8,-943.3975
0.0688,90,9,-935.70877
0.08118,91,10,-925.09713
0.08952,91,11,-917.94842
0.10152,91,12,-907.6625
0.11002,91,13,-900.37664
0.12248,91,14,-889.69642
0.13052,91,15,-882.80486
0.14278,91,16,-872.29607
0.15087,87,17,-865.36165
0.16258,81,18,-855.32431
0.17144,76,19,-847.72987
0.18374,70,20,-837.1868
0.19199,64,21,-830.11523
0.20404,59,22,-819.78645
0.21242,53,23,-812.60345
0.22478,47,24,-802.00895
0.23293,42,25,-795.0231
0.24524,36,26,-784.47146
0.25297,31,27,-777.84561
0.26575,25,28,-766.89111
0.27393,19,29,-759.87954
0.2862,13,30,-749.36219
0.29438,8,31,-742.35062
0.30658,2,32,-731.89327
0.31495,1,33,-724.71884
0.32702,4,35,-714.37292
0.3353,9,36,-707.27563
0.34733,14,37,-696.964
0.35569,20,38,-689.79814
0.36808,25,39,-679.17793
0.37594,31,40,-672.44065
0.38856,36,42,-661.62329
0.39672,42,43,-654.62886
0.40868,47,44,-644.37723
0.41722,53,45,-637.05708
0.4294,58,46,-626.61687
0.43765,64,47,-619.5453
0.44934,69,49,-609.5251
0.46203,75,50,-598.64774
0.47038,80,51,-591.49046
0.4828,86,52,-580.84453
0.491,91,53,-573.81582
0.50323,91,54,-563.33275
0.51074,91,55,-556.89548
0.52374,91,56,-545.7524
0.53188,91,57,-538.77512
0.5442,91,58,-528.21491
0.55243,91,59,-521.16048
0.5647,91,60,-510.64313
0.57256,87,61,-503.90585
0.58537,81,62,-492.92563
0.59336,76,63,-486.07692
0.60565,70,65,-475.54242
0.61386,65,66,-468.50514
0.62613,59,67,-457.98779
0.63415,53,68,-451.11336
0.6464,48,69,-440.61315
0.65438,42,70,-433.77302
0.6669,37,71,-423.04137
0.67534,31,72,-415.80694
0.68757,25,73,-405.32388
0.69573,19,74,-398.32945
0.70814,14,75,-387.6921
0.71614,8,76,-380.83482
0.72846,3,77,-370.27461
0.73671,1,78,-363.20304
0.74863,3,79,-352.98569
0.75719,9,80,-345.6484
0.76946,14,81,-335.13105
0.77758,19,82,-328.17091
0.78986,25,83,-317.64498
0.79812,30,84,-310.56484
0.81037,35,85,-300.06463
0.8185,41,86,-293.09592
0.83081,47,87,-282.54428
0.83851,52,88,-275.94415
0.85083,57,89,-265.38394
0.85951,63,90,-257.94379
0.87133,69,92,-247.81216
0.88017,74,93,-240.23486
0.89239,79,94,-229.76037
0.90059,85,95,-222.73165
0.91279,91,96,-212.2743
0.92092,91,97,-205.30559
0.93328,91,99,-194.71109
0.94151,91,100,-187.65667
0.95353,91,101,-177.3536
0.96199,91,102,-170.10203
0.97416,91,103,-159.67039
0.98216,91,104,-152.81311
0.99416,87,106,-142.52719
1.00291,81,107,-135.02704
1.01435,76,108,-125.22113
1.02302,70,109,-117.78956
1.03568,65,110,-106.93791
1.04383,59,111,-99.95206
1.05615,53,112,-89.39184
1.06813,48,113,-79.12307
1.0761,42,114,-72.2915
1.08904,36,115,-61.19985
1.09717,31,116,-54.23114
1.10943,25,117,-43.72236
1.1176,19,118,-36.71936
1.12987,13,119,-26.20201
1.13761,8,120,-19.56759
1.15036,2,121,-8.6388
1.15849,1,122,-1.67009
1.17083,4,123,8.90726
1.17904,9,124,15.94455
1.19133,14,125,26.47904
1.19926,20,126,33.27632
1.21185,25,127,44.06797
1.22025,31,128,51.26811
1.23229,36,130,61.58832
1.24052,42,131,68.64274
1.25277,47,132,79.14295
1.26072,53,133,85.95738
1.2735,58,134,96.91188
1.28139,64,135,103.67487
1.2937,69,136,114.22651
1.30196,75,137,121.30665
1.31425,80,138,131.84115
1.32238,86,139,138.80986
1.33447,91,140,149.17293
1.3429,91,141,156.39879
1.35516,91,142,166.90757
1.36343,91,143,173.99628
1.3756,91,144,184.42792
1.38357,91,145,191.25948
1.39615,91,146,202.04256
1.40435,91,147,209.07127
1.41657,86,148,219.54576
1.4245,81,149,226.34304
1.43733,75,151,237.3404
1.44521,69,152,244.09482
1.4575,63,153,254.62932
1.46565,58,154,261.61518
1.47803,52,155,272.22682
1.48621,46,156,279.23838
1.49842,41,158,289.70431
1.50681,35,159,296.89588
1.519,30,160,307.34466
1.5271,24,161,314.28766
1.53946,18,162,324.88215
1.54761,12,163,331.86801
1.55991,7,164,342.41108
1.56827,1,165,349.57693
1.58043,0,166,360.0
1.58859,5,167,366.99443
1.60062,10,168,377.30606
1.60893,15,169,384.42906
1.62133,20,170,395.05784
1.62954,26,171,402.09513
1.64189,32,172,412.68105
1.65006,37,173,419.68405
1.66234,42,174,430.20998
1.6701,48,175,436.86154
1.68294,54,176,447.86747
1.69101,59,177,454.78475
1.70317,65,178,465.20782
1.71144,70,179,472.29653
1.72362,76,180,482.73674
1.73599,81,181,493.33981
1.74418,87,182,500.35995
1.75654,91,183,510.95445
1.76471,91,184,517.95744
1.77616,91,185,527.77193
1.78418,91,186,534.64635
1.7976,91,188,546.14944
1.80576,91,189,553.14386
1.81798,91,190,563.61836
1.82555,91,191,570.10706
1.83848,85,192,581.19014
1.84682,80,193,588.33885
1.85888,74,195,598.6762
1.86707,68,196,605.69634
1.87944,62,197,616.29941
1.88784,57,198,623.49956
1.89995,51,199,633.87976
1.90811,46,200,640.87419
1.91979,40,202,650.88582
1.92883,34,203,658.63454
1.94089,28,204,668.97189
1.94906,23,205,675.97489
1.96142,17,206,686.56939
1.9696,11,207,693.58096
1.98174,6,208,703.98688
1.98999,0,209,711.05845
2.00115,0,210,720.62436
2.01012,5,211,728.31308
2.02212,10,212,738.599
2.0301,15,213,745.43914
2.0432,21,214,756.66793
2.05154,26,215,763.81665
2.06356,32,217,774.11971
2.07157,37,218,780.98556
2.08394,43,219,791.58863
2.09251,48,220,798.93449
2.10475,54,221,809.42613
2.11294,59,222,816.44627
2.12506,65,223,826.83505
2.13334,70,224,833.93234
2.14548,76,225,844.33826
2.15393,81,226,851.58126
2.16612,87,227,862.03004
2.17436,91,228,869.09304
2.18634,91,229,879.36182
2.19478,91,230,886.59625
2.20703,91,231,897.09646
