t,angle,iteration
0.001,32,1
0.00203,72,2
0.01496,63,4
0.0235,54,5
0.03479,45,6
0.04377,36,7
0.05631,27,8
0.0642,17,9
0.0767,8,11
0.08391,0,12
0.09718,0,13
0.10543,8,14
0.11738,18,15
0.12526,28,16
0.13816,37,17
0.14599,47,18
0.15802,56,19
0.16676,66,20
0.17911,75,21
0.18723,85,22
0.19906,91,23
0.20752,90,24
0.22005,91,26
0.22776,91,27
0.24039,83,28
0.2487,74,29
0.26067,65,30
0.26865,56,31
0.28141,47,32
0.28929,37,33
0.30193,29,34
0.31018,20,35
0.32143,10,36
0.33065,1,37
0.34293,0,38
0.35018,6,39
0.36335,15,40
0.37128,24,41
0.38288,33,42
0.39194,43,43
0.40455,52,44
0.41263,62,45
0.42488,71,46
0.43248,80,47
0.44557,90,48
0.45765,92,49
0.46492,91,50
0.47804,91,51
0.48633,90,52
0.49772,80,53
0.50627,70,54
0.51855,61,55
0.52729,52,56
0.53956,43,57
0.54713,34,58
0.56002,24,59
0.56811,15,60
0.57986,7,61
0.58777,0,62
0.601,1,63
0.60895,10,64
0.62132,21,65
0.62953,30,66
0.64196,39,67
0.64932,49,68
0.66218,58,69
0.67062,67,70
0.6824,77,71
0.69062,87,72
0.70267,90,74
0.71158,91,75
0.72365,91,76
0.73165,91,77
0.74408,81,78
0.75236,72,79
0.76439,62,81
0.77286,53,82
0.78536,44,83
0.79346,36,84
0.80573,26,85
0.81356,17,86
0.82647,8,87
0.83446,0,88
0.84672,1,89
0.8542,8,90
0.86722,18,91
0.87539,28,92
0.88735,37,93
0.89584,47,94
0.90792,56,96
0.91564,66,97
0.92868,75,98
0.936,85,99
0.94889,91,100
0.95723,90,101
0.96895,91,103
0.97759,91,104
0.98988,83,105
0.99835,74,106
1.01052,65,107
1.01783,55,108
1.03045,46,110
1.0393,37,111
1.05143,28,112
1.0638,19,113
1.07202,9,114
1.08006,1,115
1.09229,0,117
1.10067,8,118
1.11295,16,119
1.12523,26,120
1.13417,35,121
1.14571,45,122
1.15381,54,123
1.16562,64,124
1.17429,73,125
1.18666,82,127
1.1949,92,128
1.20705,91,129
1.2153,90,130
1.22766,91,131
1.23582,84,132
1.24746,76,134
1.25549,67,135
1.26754,58,136
1.27652,49,137
1.28852,39,138
1.29725,30,139
1.30894,22,141
1.31736,12,142
1.3298,3,143
1.33825,1,144
1.35052,6,145
1.35871,15,146
1.36992,23,147
1.37884,33,148
1.39149,43,149
1.39939,52,150
1.41197,62,151
1.42015,71,152
1.43194,80,153
1.44063,90,154
1.45288,91,155
1.46092,91,156
1.47344,91,157
1.48365,86,158
1.49376,76,159
1.50175,68,160
1.51454,59,161
1.5226,50,162
1.53436,41,163
1.54245,31,164
1.55516,22,165
1.56291,14,166
1.57559,4,168
1.58331,1,169
1.59631,4,170
1.60467,14,171
1.61601,23,172
1.62499,32,173
1.63663,42,175
1.64541,51,176
1.65755,60,177
1.66562,70,178
1.67822,80,179
1.6864,89,180
1.69814,91,181
1.70665,91,182
1.71909,91,183
1.73076,89,184
1.73952,79,185
1.75188,70,186
1.76014,60,187
1.77188,52,188
1.77991,43,189
1.79286,34,190
1.80108,24,191
1.81336,15,192
1.82152,7,193
1.83378,0,194
1.84219,2,195
1.85352,13,196
1.86259,22,197
1.87482,31,198
1.88274,40,199
1.89537,50,200
1.90346,59,201
1.9155,69,202
1.92349,78,203
1.93591,88,204
1.94417,90,205
1.95678,91,206
1.96456,91,207
1.9769,89,208
1.98558,79,209
1.99699,70,211
2.00586,60,212
2.02999,52,213
2.03898,34,214
2.04683,24,215
2.05894,15,217
2.06732,7,218
2.07955,0,219
2.08771,1,220
2.09959,10,221
2.10757,21,222
2.1205,30,223
2.12875,39,224
2.14018,49,225
2.1484,58,226
2.16143,67,227
2.16962,77,228
2.18172,87,229
2.18939,90,230
2.20243,91,232
2.21067,91,233
2.22205,90,234
2.23003,81,235
2.24303,71,236
2.25138,62,237
2.26387,52,239
2.27209,44,240
2.28343,35,241
2.29239,26,242
2.30455,16,243
2.31305,7,244
2.32482,0,246
2.33281,1,247
2.34578,10,248
2.35401,21,249
2.36525,30,250
2.37423,39,251
2.38642,49,253
2.39878,58,254
2.40745,67,255
2.41913,77,256
2.4274,87,257
2.44001,90,258
2.44841,91,259
2.4604,91,260
2.46848,90,261
2.48042,81,263
2.48912,71,264
2.50139,62,265
2.50951,53,266
2.5219,44,267
2.52982,35,268
2.54158,26,269
2.55061,16,270
2.56247,8,271
2.57035,0,272
2.58236,1,273
2.59101,9,274
2.60379,19,275
2.61208,29,276
2.62439,37,278
2.63218,47,279
2.64448,57,280
2.65261,66,281
2.66525,75,282
2.6733,85,283
2.68506,91,285
2.69374,90,286
2.70592,91,287
2.71451,91,288
2.72674,83,289
2.73414,74,290
2.74775,65,291
2.75537,55,292
2.76683,46,293
2.77485,37,294
2.78815,28,295
2.79632,19,296
2.80869,9,297
2.81672,1,298
2.82921,0,299
2.83744,8,300
2.8491,16,301
2.85711,26,302
2.87011,35,303
2.87845,44,304
2.89011,54,305
2.89788,64,306
2.91064,73,307
2.91865,82,308
2.93061,92,309
2.93968,91,310
2.95142,90,312
2.9602,91,313
2.97205,84,314
2.98062,76,315
2.99289,67,316
3.00085,58,317
3.01347,49,318
3.02163,39,319
3.03388,30,320
3.04546,22,321
3.05379,12,322
3.06665,3,323
3.07487,1,324
3.08622,6,325
3.09521,15,326
3.10764,23,327
3.11695,33,328
3.12805,43,329
3.13608,52,330
3.14802,61,331
3.15602,71,332
3.16893,80,333
3.17731,90,334
3.18956,91,335
3.19716,91,336
3.20977,91,337
3.21821,87,338
3.23058,77,339
3.23846,68,340
3.25096,59,341
3.2592,50,342
3.27146,41,343
3.27954,32,344
3.29122,23,345
3.29917,14,346
3.3123,5,348
3.31979,1,349
3.3329,1,350
3.34129,11,351
3.35336,21,352
3.36155,30,353
3.3733,39,355
3.38114,49,356
3.39431,58,357
3.40143,68,358
3.41464,77,359
3.42302,87,360
3.43548,90,361
3.44346,91,362
3.45539,91,363
3.46391,90,364
3.47621,81,365
3.48406,72,366
3.49663,62,367
3.50488,53,368
3.51714,44,369
3.52557,35,370
3.53684,26,371
3.54589,16,372
3.5581,8,373
3.56791,0,374
3.57839,1,375
3.58675,8,376
3.599,17,377
