t,angle,iteration,phase angle
0.0,91,1,306.69754
0.001,34,3,308.36794
0.00299,91,5,311.69203
0.01097,12,6,325.02182
0.02296,1,7,345.04992
0.03191,0,8,360.0
0.04388,9,10,379.99469
0.05186,20,11,393.32448
0.06483,31,12,414.98957
0.07283,43,13,428.35277
0.08477,54,14,448.29734
0.09275,65,15,461.62714
0.10572,76,16,483.29222
0.1137,87,17,496.62202
0.12566,90,18,516.6
0.13364,91,19,529.92979
0.14661,91,20,551.59488
0.15459,90,21,564.92467
0.16655,79,22,584.90266
0.17454,67,23,598.24915
0.18753,57,24,619.94765
0.19548,46,25,633.22733
0.20745,35,26,653.22202
0.21545,24,27,666.58522
0.22841,14,28,688.2336
0.23637,3,29,701.52998
0.24834,0,30,721.52467
0.25634,7,31,734.88787
0.26928,18,32,756.50285
0.27726,29,33,769.83264
0.28923,40,34,789.82733
0.2982,51,35,804.81082
0.31017,63,37,824.8055
0.31815,74,38,838.1353
0.33012,85,39,858.12998
0.33909,90,40,873.11347
0.35106,90,41,893.10816
0.36303,91,42,913.10285
0.37201,91,43,928.10304
0.38397,82,44,948.08102
0.39195,72,45,961.41082
0.40392,61,46,981.4055
0.4129,50,47,996.4057
0.42486,39,48,1016.38368
0.43284,28,49,1029.71347
0.44481,17,50,1049.70816
0.45379,6,51,1064.70835
0.46575,1,53,1084.68634
0.47373,3,54,1098.01613
0.4857,15,55,1118.01082
0.49468,26,56,1133.01101
0.50665,37,57,1153.0057
0.51462,48,58,1166.31878
0.52759,59,60,1187.98387
0.53557,71,61,1201.31366
0.54754,82,62,1221.30835
0.55552,92,63,1234.63814
0.56848,91,64,1256.28653
0.57649,91,65,1269.66643
0.58843,91,67,1289.61101
0.59641,84,68,1302.9408
0.6094,74,69,1324.6393
0.61738,63,70,1337.96909
0.62932,52,71,1357.91366
0.6373,42,72,1371.24346
0.65028,31,73,1392.92525
0.65824,20,74,1406.22163
0.67021,9,75,1426.21632
0.67819,0,76,1439.54611
0.69115,1,77,1461.1945
0.69913,10,78,1474.52429
0.7111,22,79,1494.51898
0.72008,33,80,1509.51917
0.73204,44,81,1529.49715
0.74002,56,82,1542.82694
0.75199,67,83,1562.82163
0.76097,78,84,1577.82182
0.77293,89,85,1597.79981
0.78091,91,86,1611.1296
0.79288,91,88,1631.12429
0.80188,91,89,1646.15789
0.81382,89,90,1666.10246
0.8218,77,91,1679.43226
0.83477,66,92,1701.09734
0.84277,55,93,1714.46054
0.85471,44,95,1734.40512
0.86269,34,96,1747.73491
0.87566,23,97,1769.4
0.88366,12,98,1782.7632
0.89561,1,99,1802.72448
0.90358,0,100,1816.03757
0.91655,9,102,1837.70266
0.92455,21,103,1851.06586
0.9365,32,104,1871.02714
0.94447,44,105,1884.34022
0.95746,54,106,1906.03872
0.96544,66,107,1919.36851
0.97739,77,108,1939.32979
0.98537,88,109,1952.65958
0.99836,91,110,1974.35808
1.0103,91,111,1994.30266
1.01828,91,112,2007.63245
1.03124,90,113,2029.28083
1.03925,79,114,2042.66074
1.05119,68,115,2062.60531
1.05917,57,116,2075.9351
1.07214,46,118,2097.60019
1.08011,35,119,2110.91328
1.09208,25,120,2130.90797
1.10006,14,121,2144.23776
1.11303,3,122,2165.90285
1.12103,1,123,2179.26605
1.13297,8,124,2199.21062
1.14195,18,125,2214.21082
1.15391,29,126,2234.1888
1.16192,40,127,2247.5687
1.17386,52,128,2267.51328
1.18284,63,129,2282.51347
1.19483,74,130,2302.54157
1.20281,85,131,2315.87136
1.21475,90,132,2335.81594
1.22373,91,133,2350.81613
1.23572,91,134,2370.84422
1.24367,91,135,2384.1239
1.25664,81,136,2405.78899
1.26462,69,137,2419.11878
1.27659,58,138,2439.11347
1.28456,48,139,2452.42656
1.29753,37,140,2474.09165
1.30551,26,141,2487.42144
1.3175,15,142,2507.44954
1.32546,4,143,2520.74592
1.33842,1,144,2542.3943
1.3464,8,145,2555.7241
1.35839,18,146,2575.75219
1.36635,29,147,2589.04858
1.37931,40,148,2610.69696
1.38729,52,149,2624.02675
1.39926,63,150,2644.02144
1.40724,74,151,2657.35123
1.42021,85,152,2679.01632
1.42818,90,153,2692.32941
1.44015,91,154,2712.3241
1.44913,91,155,2727.32429
1.46109,91,157,2747.30227
1.46907,81,158,2760.63206
1.48104,71,159,2780.62675
1.49002,59,160,2795.62694
1.50199,48,161,2815.62163
1.50996,37,162,2828.93472
1.52193,27,164,2848.92941
1.53091,16,165,2863.9296
1.54288,5,166,2883.92429
1.55085,1,167,2897.23738
1.56382,6,168,2918.90246
1.5718,16,169,2932.23226
1.58379,27,170,2952.26035
1.59177,39,171,2965.59014
1.60471,50,172,2987.20512
1.61269,61,173,3000.53491
1.62469,73,174,3020.57971
1.63266,84,175,3033.8928
1.6456,91,176,3055.50778
1.65759,90,177,3075.53587
1.66558,91,178,3088.88237
1.67752,91,179,3108.82694
1.68649,82,180,3123.81043
1.69849,72,181,3143.85523
1.70647,61,182,3157.18502
1.7194,50,183,3178.7833
1.72738,39,184,3192.11309
1.73938,29,185,3212.15789
1.74736,18,186,3225.48768
1.76029,7,187,3247.08595
1.76827,1,188,3260.41574
1.78024,4,189,3280.41043
1.78822,16,190,3293.74022
1.80118,26,191,3315.38861
1.80916,37,192,3328.7184
1.82113,49,193,3348.71309
1.82911,60,194,3362.04288
1.84207,72,195,3383.69126
1.85005,82,196,3397.02106
1.86202,92,197,3417.01574
1.871,90,198,3432.01594
1.88297,91,199,3452.01062
1.89097,91,200,3465.37382
1.90294,82,201,3485.36851
1.91189,72,202,3500.31859
1.92386,61,203,3520.31328
1.93184,50,204,3533.64307
1.9438,39,206,3553.62106
1.95278,29,207,3568.62125
1.96475,18,208,3588.61594
1.97275,7,209,3601.97914
1.98469,0,210,3621.92371
1.99367,1,211,3636.9239
2.00564,12,213,3656.91859
2.01364,24,214,3670.28179
2.02658,35,215,3691.89677
2.03456,46,216,3705.22656
2.04653,58,217,3725.22125
2.05453,69,218,3738.58445
2.06747,80,219,3760.19942
2.07545,91,220,3773.52922
2.08742,91,221,3793.5239
2.09542,90,222,3806.8871
2.10836,91,223,3828.50208
2.11634,83,224,3841.83187
2.12833,73,225,3861.85997
2.13631,63,226,3875.18976
2.14925,52,227,3896.80474
2.15723,41,228,3910.13453
2.16923,30,229,3930.17933
2.17818,19,230,3945.12941
2.19015,8,231,3965.1241
2.19812,0,232,3978.43718
2.21011,1,233,3998.46528
2.21907,11,234,4013.43206
2.23103,23,235,4033.41005
2.23901,34,236,4046.73984
2.25198,45,237,4068.40493
2.25996,56,238,4081.73472
2.27193,67,239,4101.72941
2.27991,79,240,4115.0592
2.29287,90,241,4136.70758
2.30085,91,242,4150.03738
2.31282,91,243,4170.03206
2.32481,91,244,4190.06016
2.33376,85,245,4205.01024
2.34573,74,246,4225.00493
2.35371,64,247,4238.33472
2.36568,53,248,4258.32941
2.37465,42,249,4273.3129
2.38662,31,250,4293.30758
2.3946,21,251,4306.63738
2.40756,10,252,4328.28576
2.41554,0,253,4341.61555
2.42751,0,255,4361.61024
2.43549,10,256,4374.94003
2.44845,22,257,4396.58842
2.45643,33,258,4409.91821
2.4684,44,259,4429.9129
2.47638,55,260,4443.24269
2.48934,67,262,4464.89107
2.49732,78,263,4478.22086
2.50929,89,264,4498.21555
2.51729,91,265,4511.57875
2.53024,91,266,4533.21043
2.53821,91,267,4546.52352
2.55018,90,268,4566.51821
2.55916,79,269,4581.5184
2.57113,68,270,4601.51309
2.5791,57,271,4614.82618
2.59108,46,272,4634.83757
2.60005,35,273,4649.82106
2.61202,25,274,4669.81574
2.61999,14,275,4683.12883
2.63196,3,276,4703.12352
2.64094,0,277,4718.12371
2.65291,7,278,4738.1184
