t,angle,iteration,phase angle
0.0,21,1,53.76243
0.00499,31,2,54.08399
0.01396,31,3,54.66201
0.02593,32,4,55.43336
0.03391,32,5,55.94759
0.04588,32,6,56.71894
0.05485,33,7,57.29697
0.06682,33,9,58.06831
0.0748,34,10,58.58254
0.08677,34,11,59.35389
0.09976,34,12,60.19097
0.10771,35,13,60.70326
0.11968,35,14,61.47461
0.12866,35,15,62.05328
0.14065,36,16,62.82592
0.1486,36,17,63.33822
0.16057,37,18,64.10956
0.16955,37,19,64.68823
0.18151,37,20,65.45894
0.18949,38,21,65.97317
0.20146,38,22,66.74451
0.21044,39,23,67.32319
0.2234,39,25,68.15833
0.23038,39,26,68.60812
0.24235,40,27,69.37947
0.25133,40,28,69.95814
0.26333,41,29,70.73142
0.27327,41,30,71.37195
0.28424,41,31,72.07886
0.29225,42,32,72.59502
0.30618,42,33,73.49267
0.31216,43,34,73.87802
0.32513,43,35,74.71381
0.33311,43,36,75.22804
0.34508,44,38,75.99939
0.35306,44,39,76.51362
0.36602,44,40,77.34876
0.37403,45,41,77.86493
0.38597,45,42,78.63434
0.39395,46,43,79.14857
0.40691,46,44,79.98371
0.41489,46,45,80.49794
0.42686,47,46,81.26929
0.43484,47,47,81.78352
0.4478,48,48,82.61866
0.45678,48,49,83.19734
0.46775,48,51,83.90424
0.47672,49,52,84.48227
0.48871,49,53,85.2549
0.49669,50,54,85.76914
0.50864,50,55,86.53919
0.51762,50,56,87.11787
0.52961,51,57,87.8905
0.53956,51,58,88.53168
0.54953,51,59,89.17415
0.55851,52,60,89.75282
0.57048,52,61,90.52416
0.57845,53,62,91.03775
0.59142,53,63,91.87354
0.5994,53,64,92.38777
0.61139,54,65,93.1604
0.61934,54,66,93.6727
0.63231,54,67,94.50849
0.6443,55,68,95.28112
0.65228,55,69,95.79536
0.66422,56,70,96.56477
0.67323,56,71,97.14537
0.6852,56,72,97.91672
0.69315,57,73,98.42902
0.70611,57,74,99.26416
0.71409,57,75,99.77839
0.72608,58,76,100.55103
0.73404,58,77,101.06397
0.747,59,78,101.89911
0.75498,59,79,102.41334
0.76698,59,80,103.18662
0.77493,60,81,103.69892
0.78789,60,82,104.53406
0.79587,61,83,105.0483
0.80784,61,84,105.81964
0.81582,61,85,106.33387
0.82878,62,86,107.16902
0.83678,62,87,107.68454
0.84873,63,88,108.45459
0.85771,63,89,109.03326
0.86968,63,90,109.80461
0.87765,64,91,110.3182
0.89062,64,92,111.15399
0.8986,65,93,111.66822
0.91057,65,94,112.43956
0.91855,65,95,112.95379
0.93051,66,96,113.7245
0.93949,66,97,114.30317
0.95147,67,98,115.07516
0.95946,67,99,115.59003
0.9734,67,100,116.48833
0.98038,68,101,116.93812
0.99238,68,102,117.7114
1.00036,69,103,118.22563
1.01329,69,105,119.05884
1.02127,69,106,119.57307
1.03324,70,107,120.34442
1.04121,70,108,120.858
1.05418,70,109,121.69379
1.06216,71,110,122.20802
1.07416,71,112,122.9813
1.08211,72,113,123.4936
1.09507,72,114,124.32874
1.10305,72,115,124.84297
1.11505,73,116,125.61625
1.12399,73,117,126.19235
1.13596,74,118,126.96369
1.14397,74,119,127.47986
1.15691,74,120,128.31371
1.16389,75,121,128.7635
1.17685,75,122,129.59865
1.18882,75,123,130.36999
1.1968,76,124,130.88422
