t,angle,iteration
0.001,17,1
0.002,20,2
0.003,18,3
0.004,15,4
0.006,12,5
0.007,8,6
0.008,5,7
0.009,2,8
0.01,1,9
0.011,4,10
0.012,8,11
0.013,11,12
0.014,14,13
0.015,17,14
0.017,20,15
0.018,23,16
0.019,27,17
0.02,30,18
0.021,33,19
0.022,36,20
0.023,40,21
0.024,43,22
0.025,46,23
0.026,49,24
0.027,49,25
0.028,49,26
0.03,49,27
0.031,49,28
0.032,49,29
0.033,49,30
0.034,49,31
0.035,49,32
0.037,49,33
0.038,49,34
0.039,49,35
0.04,49,36
0.041,49,37
0.042,48,38
0.043,45,39
0.044,41,40
0.047,38,41
0.048,34,42
0.05,31,43
0.051,28,44
0.052,24,45
0.053,21,46
0.054,17,47
0.055,14,48
0.056,10,49
0.057,7,50
0.058,4,51
0.059,0,52
0.06,3,53
0.061,6,54
0.061,10,55
0.065,13,56
0.066,17,57
0.067,20,58
0.068,18,59
0.069,14,60
0.07,11,61
0.071,8,62
0.072,5,63
0.073,2,64
0.074,1,65
0.075,5,66
0.076,8,67
0.076,11,68
0.077,14,69
0.078,17,70
0.08,21,71
0.082,24,72
0.083,27,73
0.084,30,74
0.085,33,75
0.086,37,76
0.087,40,77
0.088,43,78
0.089,46,79
0.091,49,80
0.092,49,81
0.093,49,82
0.094,49,83
0.095,49,84
0.096,49,85
0.097,49,86
0.098,49,87
0.099,49,88
0.101,49,89
0.102,49,90
0.103,49,91
0.104,49,92
0.105,49,93
0.106,49,94
0.107,45,95
0.108,42,96
0.109,38,97
0.11,35,98
0.11,31,99
0.111,28,100
0.113,25,101
0.114,21,102
0.115,18,103
0.116,14,104
0.117,11,105
0.118,8,106
0.119,4,107
0.12,1,108
0.121,3,109
0.122,6,110
0.123,10,111
0.124,13,112
0.125,16,113
0.126,20,114
0.127,18,115
0.129,15,116
0.13,12,117
0.131,8,118
0.133,5,119
0.134,2,120
0.135,1,121
0.136,4,122
0.137,7,123
0.138,11,124
0.139,14,125
0.14,17,126
0.141,20,127
0.142,23,128
0.143,27,129
0.144,30,130
0.146,33,131
0.147,36,132
0.148,39,133
0.149,43,134
0.15,46,135
0.151,49,136
0.152,49,137
0.153,49,138
0.153,49,139
0.154,49,140
0.155,49,141
0.156,49,142
0.157,49,143
0.158,49,144
0.16,49,145
0.161,49,146
0.162,49,147
0.163,49,148
0.164,49,149
0.165,48,150
0.166,45,151
0.167,41,152
0.168,38,153
0.169,35,154
0.17,31,155
0.171,28,156
0.172,24,157
0.173,21,158
0.174,17,159
0.176,14,160
0.177,11,161
0.178,7,162
0.179,4,163
0.18,0,164
0.181,3,165
0.182,6,166
0.183,10,167
0.184,13,168
0.184,17,169
0.185,20,170
0.186,18,171
0.19,14,172
0.247,11,173
0.258,8,174
0.26,5,175
0.261,2,176
0.272,1,177
0.273,5,178
0.274,8,179
0.276,11,180
0.277,14,181
0.278,17,182
0.28,21,183
0.282,24,184
0.284,27,185
0.286,30,186
0.287,33,187
0.288,37,188
0.289,40,189
0.29,43,190
0.291,46,191
0.292,49,192
0.293,49,193
0.294,49,194
0.294,49,195
0.297,49,196
0.299,49,197
0.301,49,198
0.302,49,199
0.303,49,200
0.304,49,201
0.305,49,202
0.306,49,203
0.307,49,204
0.308,49,205
0.309,48,206
0.31,44,207
0.311,41,208
0.314,37,209
0.316,34,210
0.317,31,211
0.319,27,212
0.32,24,213
0.321,20,214
0.322,17,215
0.323,14,216
0.324,10,217
0.325,7,218
0.325,3,219
0.326,0,220
0.327,4,221
0.328,7,222
0.331,10,223
0.333,14,224
0.335,17,225
0.336,20,226
0.337,17,227
0.338,14,228
0.339,11,229
0.34,8,230
0.341,5,231
0.342,1,232
0.343,2,233
0.345,5,234
0.347,8,235
0.349,11,236
0.351,15,237
0.353,18,238
0.354,21,239
0.355,24,240
0.356,27,241
0.357,31,242
0.36,34,243
0.361,37,244
0.364,40,245
0.366,44,246
0.367,47,247
0.37,49,248
0.371,49,249
0.372,49,250
0.373,49,251
0.374,49,252
0.379,49,253
0.381,49,254
0.383,49,255
0.384,49,256
0.386,49,257
0.387,49,258
0.388,49,259
0.389,49,260
0.39,49,261
0.391,47,262
0.392,44,263
0.393,40,264
0.394,37,265
0.401,33,266
0.402,30,267
0.403,27,268
0.404,23,269
0.405,20,270
0.406,16,271
0.407,13,272
0.407,9,273
0.408,6,274
0.409,3,275
0.41,1,276
0.411,4,277
0.414,8,278
0.415,11,279
0.417,15,280
0.418,18,281
0.419,20,282
0.42,17,283
0.421,13,284
0.422,10,285
0.422,7,286
0.423,4,287
0.423,1,288
0.424,2,289
0.425,6,290
0.425,9,291
0.426,12,292
0.427,15,293
0.427,19,294
0.428,22,295
0.43,25,296
0.431,28,297
0.432,31,298
0.434,34,299
0.435,38,300
0.436,41,301
0.437,44,302
0.438,47,303
0.438,49,304
0.439,49,305
0.44,49,306
0.441,49,307
0.441,49,308
0.442,49,309
0.443,49,310
0.444,49,311
0.445,49,312
0.446,49,313
0.448,49,314
0.449,49,315
0.45,49,316
0.451,49,317
0.452,47,318
0.453,43,319
0.454,40,320
0.454,36,321
0.455,33,322
0.456,29,323
0.457,26,324
0.457,23,325
0.458,19,326
0.459,16,327
0.459,12,328
0.46,9,329
0.461,5,330
0.462,2,331
0.465,1,332
0.466,5,333
0.468,8,334
0.47,12,335
0.475,15,336
0.478,19,337
0.481,19,338
0.483,16,339
0.484,13,340
0.485,10,341
0.486,6,342
0.487,3,343
0.488,0,344
0.488,3,345
0.489,6,346
0.49,9,347
0.49,13,348
0.491,16,349
0.492,19,350
0.493,22,351
0.494,25,352
0.494,29,353
0.497,32,354
0.498,35,355
0.5,38,356
0.501,41,357
0.502,45,358
0.503,48,359
0.504,49,360
0.504,49,361
0.505,49,362
0.506,49,363
0.506,49,364
0.507,49,365
0.508,49,366
0.509,49,367
0.509,49,368
0.51,49,369
0.511,49,370
0.513,49,371
0.515,49,372
0.516,49,373
0.517,46,374
0.518,43,375
0.519,39,376
0.52,36,377
0.52,32,378
0.521,29,379
0.522,25,380
0.523,22,381
0.524,19,382
0.525,15,383
0.526,12,384
0.526,8,385
0.527,5,386
0.528,1,387
0.53,2,388
0.531,5,389
0.533,9,390
0.534,12,391
0.535,16,392
0.55,19,393
0.603,19,394
0.652,16,395
0.705,12,396
0.755,9,397
0.804,6,398
0.857,3,399
0.906,0,400
0.955,4,401
1.009,7,402
1.058,10,403
1.107,13,404
1.16,16,405
1.209,19,406
1.262,23,407
1.312,26,408
1.361,29,409
1.414,32,410
1.463,35,411
1.512,39,412
1.566,42,413
1.615,45,414
1.664,48,415
1.717,49,416
1.766,49,417
1.82,49,418
1.869,49,419
1.918,49,420
1.971,49,421
2.02,49,422
2.07,49,423
2.123,49,424
2.172,49,425
2.225,49,426
2.274,49,427
2.323,49,428
2.377,49,429
2.426,46,430
2.475,42,431
2.528,39,432
2.578,35,433
2.63,32,434
2.68,29,435
2.729,25,436
2.782,22,437
2.831,18,438
2.88,15,439
2.934,11,440
2.983,8,441
3.032,5,442
3.085,1,443
3.134,2,444
3.187,6,445
3.237,9,446
3.286,12,447
3.339,16,448
3.388,19,449
3.438,19,450
3.491,15,451
3.54,12,452
3.589,9,453
3.642,6,454
3.691,3,455
3.744,1,456
3.794,4,457
3.843,7,458
3.896,10,459
3.945,13,460
3.995,16,461
4.048,20,462
4.097,23,463
4.146,26,464
4.199,29,465
4.248,32,466
4.302,36,467
4.351,39,468
4.4,42,469
4.453,45,470
4.502,49,471
4.552,49,472
4.605,49,473
4.654,49,474
4.707,49,475
4.756,49,476
4.805,49,477
4.859,49,478
4.908,49,479
4.957,49,480
5.01,49,481
5.06,49,482
5.112,49,483
5.162,49,484
5.211,49,485
5.264,45,486
5.313,42,487
5.363,38,488
5.416,35,489
5.465,31,490
5.514,28,491
5.567,25,492
5.616,21,493
5.67,18,494
